"","state","state_code","year","vote_cast","register","turnout","youth_pop","elect_law_score","hs_register","party","leaning","primary_17"
"89","Idaho","ID",2018,66671,0.48,0.25,262705,5,"N","R",32,"N"
"90","West Virginia","WV",2018,51071,0.59,0.19,266495,8,"Y","R",35,"Y"
"91","Rhode Island","RI",2018,40983,0.78,0.23,175395,7,"Y","D",22,"N"
"92","Delaware","DE",2018,40863,0.88,0.29,141024,6,"N","D",15,"Y"
"93","South Dakota","SD",2018,30692,0.58,0.23,135536,1,"N","R",24,"N"
"94","Vermont","VT",2018,29326,0.65,0.29,100951,8,"N","D",31,"Y"
"95","Alaska","AK",2018,NA,NA,NA,130346,7,"N","R",15,"N"
"96","District of Columbia","DC",2018,NA,NA,NA,142877,8,"N","D",86,"Y"
"97","Hawaii","HI",2018,NA,NA,NA,212732,8,"Y","D",38,"N"
"98","Mississippi","MS",2018,NA,NA,NA,489327,1,"Y","R",15,"Y"
"99","New Hampshire","NH",2018,NA,NA,NA,200800,3,"N","D",3,"N"
"100","North Dakota","ND",2018,NA,NA,NA,139846,3,"N","R",28,"N"
"101","Wisconsin","WI",2018,NA,NA,NA,884238,6,"N","R",3,"N"
"102","Wyoming","WY",2018,NA,NA,NA,88687,3,"N","R",44,"N"
